caption_length,comments,content_category,engagement_rate,followers_gained,hashtags_count,impressions,media_type,Sum of likes,post_id,Sum of reach,Sum of saves,Sum of shares,traffic_source,upload_date
0,400,Fashion,26.51,870,5,641217,Photo,155297,IG0017119,150615,14152,161,Hashtags,8/24/2025
0,647,Food,6.85,749,4,979013,Reel,52439,IG0013804,670390,9525,4476,Explore,9/6/2025
0,1102,Comedy,6.41,433,1,1722645,Video,94432,IG0010905,1383466,14207,692,Explore,3/26/2025
0,2183,Music,2.06,767,24,923352,Reel,3581,IG0017475,690506,11744,1542,Profile,6/15/2025
0,2390,Comedy,11.29,330,19,1784295,Reel,193408,IG0002921,1682767,2175,3511,Hashtags,10/14/2025
0,2396,Food,3.04,127,1,544101,Reel,1025,IG0025562,516259,12685,430,Reels Feed,3/6/2025
0,4099,Travel,2.24,203,3,1770802,Carousel,28826,IG0017227,1432130,5193,1554,Hashtags,9/20/2025
0,4154,Comedy,4.63,738,26,2254504,Video,86356,IG0005705,1940802,9618,4177,Profile,6/5/2025
0,6366,Music,8.29,37,17,790803,Reel,44051,IG0023533,565331,14169,971,Hashtags,11/2/2025
0,6389,Photography,3.85,386,17,1429546,Reel,37700,IG0029606,1193682,6791,4145,Home Feed,3/5/2025
0,7429,Travel,57.76,969,3,287791,Reel,142747,IG0020259,31568,12954,3106,External,10/17/2025
0,7657,Photography,13.06,468,2,1009870,Video,118327,IG0013352,830202,2593,3334,Explore,7/26/2025
0,8436,Food,13.77,548,5,1239903,Video,156036,IG0004874,1232505,4571,1687,External,5/22/2025
0,8884,Fashion,12.51,311,0,559570,Video,41617,IG0020087,147428,14610,4888,Home Feed,5/24/2025
0,9093,Technology,7.49,346,4,1018865,Reel,52866,IG0013084,960357,9375,4998,Home Feed,3/5/2025
0,9302,Lifestyle,11.89,836,24,1709505,Reel,185259,IG0019594,1228989,5116,3625,Reels Feed,9/23/2025
0,9997,Photography,13.51,242,11,1483704,Photo,177017,IG0000467,1375647,10743,2744,Reels Feed,8/8/2025
1,5,Food,28.38,699,23,240876,Reel,56082,IG0010222,108918,10652,1612,Profile,12/9/2024
1,174,Comedy,13.04,306,6,1359295,Photo,163754,IG0022153,946599,9753,3585,Profile,7/9/2025
1,236,Travel,9.43,836,22,1859315,Carousel,158958,IG0019628,1853259,13033,3170,Explore,8/26/2025
1,753,Comedy,9.26,721,23,1096996,Video,90848,IG0027839,935570,6668,3270,External,11/27/2024
1,924,Fitness,13.2,103,3,1288067,Reel,157890,IG0026125,1137990,7205,3981,Reels Feed,2/14/2025
1,3236,Photography,12,3,4,709358,Reel,72660,IG0002251,330440,5238,4016,External,11/2/2025
1,3756,Photography,8.37,687,3,1993789,Video,148338,IG0006972,1779247,14162,603,Explore,4/8/2025
1,4859,Photography,6.03,196,28,1369473,Photo,77271,IG0022449,1144328,405,76,Hashtags,5/10/2025
1,5951,Technology,4.55,959,25,610282,Video,15824,IG0008668,243300,5641,380,Reels Feed,1/11/2025
1,6278,Comedy,4.41,168,4,934768,Photo,30769,IG0001026,660938,3723,428,External,4/3/2025
1,6574,Beauty,14.94,736,19,869695,Carousel,111077,IG0022718,614188,7821,4481,Hashtags,8/15/2025
1,6608,Photography,32.59,174,22,513118,Reel,147601,IG0004695,83275,8963,4028,Hashtags,3/26/2025
1,7303,Lifestyle,14.76,382,12,455775,Reel,47889,IG0005153,53812,9479,2604,Hashtags,4/2/2025
1,7968,Food,10.52,362,0,603492,Photo,44084,IG0018081,332546,7145,4300,Hashtags,2/22/2025
1,8297,Beauty,114.02,213,23,185993,Photo,188226,IG0011535,63438,11669,3881,External,4/16/2025
1,8805,Food,7.98,876,1,1851372,Carousel,126434,IG0000717,1472571,10733,1714,Profile,5/27/2025
1,8842,Music,10.75,578,10,2031397,Reel,193994,IG0025907,1876338,11185,4293,Profile,6/6/2025
2,106,Music,1.59,884,16,2036351,Video,27166,IG0020481,1809929,2186,2835,Hashtags,6/23/2025
2,477,Travel,5.73,403,11,934618,Video,50803,IG0010037,841362,1379,892,Reels Feed,7/8/2025
2,3296,Fashion,1.2,641,18,2145428,Video,8564,IG0013278,1782498,12385,1596,External,10/27/2025
2,4655,Photography,2.69,681,25,2198939,Carousel,47156,IG0022539,1738591,4442,2934,Explore,11/13/2025
2,4672,Fashion,2.85,510,13,2059857,Photo,43581,IG0004595,1887117,9203,1191,Hashtags,12/23/2024
2,4731,Comedy,21.42,767,21,990894,Reel,195106,IG0012641,788479,12226,138,Home Feed,10/30/2025
2,5442,Fashion,4.21,873,27,1833729,Reel,60387,IG0023028,1383028,10340,968,External,4/14/2025
2,5517,Technology,25.05,604,4,813550,Reel,193187,IG0028019,476979,1403,3653,External,8/30/2025
2,6422,Travel,9.67,317,4,1949444,Carousel,169256,IG0024026,1627166,12520,320,Home Feed,6/10/2025
2,6929,Technology,21.92,6,13,69615,Carousel,115,IG0027219,10596,3221,4996,Hashtags,2/3/2025
2,7215,Beauty,1.98,816,8,1843737,Reel,16894,IG0004764,1636843,10067,2319,External,11/9/2025
2,8537,Comedy,17.68,234,9,1178003,Video,184911,IG0002899,713313,14454,315,Reels Feed,1/9/2025
2,8950,Music,4.91,311,2,1368312,Carousel,43327,IG0008573,1107402,12624,2327,Profile,3/23/2025
2,9067,Beauty,5.44,83,23,2284322,Photo,106767,IG0004802,1842619,5146,3305,External,11/6/2025
2,9481,Travel,9.2,199,14,2086211,Carousel,168286,IG0000337,1809085,9448,4750,External,5/10/2025
2,9646,Comedy,8.06,230,5,1507507,Photo,104711,IG0023176,1123051,6918,264,Reels Feed,11/29/2024
3,49,Lifestyle,12.03,783,5,1602184,Video,178536,IG0029877,1359552,12676,1544,Reels Feed,11/19/2024
3,425,Photography,8.82,393,27,1293513,Photo,101229,IG0025574,1048378,10270,2179,Explore,6/26/2025
3,483,Music,19.89,95,15,485737,Carousel,89113,IG0004617,28138,3574,3446,Profile,7/26/2025
3,1608,Photography,6.48,722,12,1441537,Video,78222,IG0011148,1106067,11014,2554,Home Feed,4/27/2025
3,2769,Food,32.93,671,22,553926,Carousel,168241,IG0024394,297133,10028,1373,Home Feed,10/16/2025
3,2889,Fashion,2.82,132,30,1068565,Video,16599,IG0000623,799979,10548,138,Reels Feed,5/5/2025
3,4353,Food,53.94,824,17,345525,Photo,175328,IG0003156,333687,4555,2128,Hashtags,6/7/2025
3,5808,Technology,9.03,337,30,2107962,Photo,173514,IG0027898,1663710,9973,1090,Profile,2/18/2025
3,6217,Beauty,2.82,703,14,2211567,Video,48002,IG0003577,1769935,6264,1779,External,4/12/2025
3,6515,Fashion,7.12,348,18,1054070,Video,59185,IG0016087,914507,4937,4419,External,4/13/2025
3,7098,Fashion,3.34,850,16,1857774,Photo,50402,IG0014217,1372111,1253,3255,Explore,10/17/2025
3,7663,Beauty,2.24,451,18,1464570,Video,11459,IG0003317,1029288,11506,2191,Profile,10/24/2025
3,7892,Comedy,26.15,815,12,367523,Video,82342,IG0006770,342558,2130,3734,Profile,9/19/2025
3,8286,Photography,7.57,880,11,1597231,Video,100584,IG0006406,1267009,8526,3554,Explore,11/20/2024
3,8314,Music,16.95,899,1,724475,Reel,97307,IG0026474,343834,12771,4415,Home Feed,9/7/2025
3,8743,Comedy,24.06,215,6,401098,Reel,78525,IG0001423,352610,6615,2602,Explore,7/1/2025
3,9006,Technology,5.81,654,16,478646,Carousel,11018,IG0002345,26818,2930,4855,Hashtags,10/23/2025
3,9185,Comedy,10.74,731,23,1031255,Video,88493,IG0008764,832761,11397,1659,Home Feed,12/2/2024
4,1195,Lifestyle,61.03,913,8,324034,Photo,186217,IG0012683,22558,9009,1321,External,12/20/2024
4,1561,Comedy,9.14,762,26,871259,Video,60171,IG0013499,377937,13439,4487,Profile,12/26/2024
4,2439,Photography,14.07,934,4,411715,Video,45330,IG0013346,268159,7573,2571,Profile,6/4/2025
4,2982,Music,0.75,317,13,2104289,Photo,3940,IG0023198,1935449,5071,3702,External,8/18/2025
4,3096,Music,21.04,656,11,972358,Photo,184971,IG0005683,614542,12505,4035,Explore,8/25/2025
4,4339,Beauty,8.97,132,11,481429,Reel,28046,IG0025820,249100,9806,994,Hashtags,7/18/2025
4,5132,Travel,12.34,152,17,1342899,Reel,153359,IG0009588,1044070,6888,337,External,9/2/2025
4,5484,Comedy,9.58,942,29,2058189,Carousel,187429,IG0013355,1688909,98,4182,Explore,8/5/2025
4,5638,Photography,15.32,4,11,1038589,Photo,145041,IG0009231,767850,8207,195,Explore,4/24/2025
4,5998,Beauty,6.82,293,14,1189297,Carousel,67251,IG0014222,765363,7624,287,Reels Feed,1/10/2025
4,9074,Travel,11.9,568,11,1757823,Video,182157,IG0019135,1373363,14728,3233,Explore,9/3/2025
4,9406,Fitness,6.33,42,6,2398595,Reel,134234,IG0027465,1917128,5189,2935,Explore,9/7/2025
4,9488,Photography,11.5,170,27,1738780,Reel,173524,IG0011943,1640500,11975,4946,Reels Feed,9/13/2025
4,9907,Photography,49.5,450,17,407937,Video,176510,IG0025663,109008,14462,1046,Home Feed,7/18/2025
5,286,Lifestyle,5.21,847,18,2151391,Carousel,102859,IG0022326,1736165,7665,1329,External,6/13/2025
5,1261,Fashion,7.8,821,11,2110705,Reel,150897,IG0001961,1906728,7584,4920,Home Feed,10/29/2025
5,1538,Travel,26.78,426,16,494949,Carousel,118246,IG0009536,347447,10887,1861,Hashtags,5/1/2025
5,4837,Lifestyle,7.57,215,0,2083032,Reel,145787,IG0009892,1834296,4333,2707,Profile,9/6/2025
5,5404,Comedy,9.38,282,28,2210640,Carousel,185011,IG0024654,1834757,12458,4564,Profile,7/28/2025
5,5646,Photography,20.52,970,16,565135,Carousel,102764,IG0020793,103721,6399,1138,Reels Feed,6/15/2025
5,5750,Fitness,14.29,504,17,983757,Video,121999,IG0026310,594345,12372,424,Home Feed,2/2/2025
5,5898,Food,2.89,613,5,1718993,Carousel,28371,IG0009329,1498618,10835,4559,Explore,5/13/2025
5,6271,Fitness,9.61,459,10,2217918,Photo,193726,IG0000243,1768189,11821,1238,Home Feed,10/26/2025
5,8921,Travel,20.62,404,29,802947,Video,151445,IG0001212,685369,3764,1416,Profile,12/28/2024
5,9403,Technology,125.04,352,20,88472,Reel,88518,IG0022612,18236,9288,3415,Reels Feed,2/23/2025
6,1101,Music,8.25,164,14,708944,Video,44492,IG0026009,228183,11876,989,Explore,5/27/2025
6,1113,Fitness,6.26,39,3,2220970,Photo,125990,IG0023988,1872994,10344,1490,Hashtags,8/29/2025
6,1156,Fashion,1.3,867,18,1893313,Carousel,17746,IG0013682,1620930,2690,2973,Home Feed,11/20/2024
6,1228,Beauty,2.08,297,16,1893148,Carousel,27157,IG0004534,1705771,9603,1329,Home Feed,8/29/2025
6,1694,Technology,22.58,986,1,332690,Photo,62522,IG0027259,186900,6062,4829,Reels Feed,6/2/2025
6,1716,Comedy,4.3,188,30,2063507,Carousel,72109,IG0008935,1594725,10163,4759,External,7/15/2025
6,2071,Music,5.31,367,26,1508037,Reel,63934,IG0028921,1449506,11623,2496,Hashtags,12/26/2024
6,2755,Technology,36.96,104,15,346953,Reel,118653,IG0011996,99943,3578,3233,Profile,11/1/2025
6,3496,Travel,9.89,304,1,872147,Reel,65084,IG0007310,434736,14121,3593,Profile,2/20/2025
6,3797,Food,8,110,21,1763472,Photo,130275,IG0010558,1481254,3851,3096,Hashtags,2/1/2025
6,4070,Fitness,12.42,384,1,1058048,Video,124021,IG0012954,897601,911,2405,Hashtags,3/10/2025
6,4574,Music,8.09,785,21,1527811,Video,111767,IG0023961,1073855,4243,3050,Profile,2/19/2025
6,5181,Lifestyle,6.47,986,1,1820361,Reel,99306,IG0027855,1689236,11668,1622,Home Feed,6/5/2025
6,6218,Photography,11.23,52,18,1755341,Carousel,183742,IG0004538,1533338,6814,364,Home Feed,9/16/2025
6,6725,Travel,8.57,390,25,2120530,Reel,161293,IG0029745,1765905,12133,1539,Hashtags,3/25/2025
